Time Unit,Leopard Deaths,Hawk Deaths,Python Deaths,Total Predation Deaths
11,1,0,0,1
19,1,1,0,2
34,1,1,1,3
734,2,1,1,4
957,2,1,2,5
1002,3,1,2,6
1028,3,1,3,7
1035,4,1,3,8
1258,4,1,4,9
1349,5,1,4,10
1396,5,2,4,11
1632,5,2,5,12
1795,6,2,5,13
1948,6,3,5,14
2005,7,3,5,15
2017,7,3,6,16
2028,7,3,7,17
2051,7,3,8,18
2117,8,3,8,19
2318,8,3,9,20
2350,8,3,10,21
2515,9,3,10,22
2799,9,3,11,23
2802,10,3,11,24
2825,10,3,12,25
2953,11,3,12,26
2978,11,3,13,27
3002,11,3,14,28
3005,12,3,14,29
3006,12,3,15,30
3017,12,3,16,31
3017,12,4,16,32
3060,12,4,17,33
3103,12,4,18,34
3205,13,4,18,35
3283,13,4,19,36
3346,13,5,19,37
3361,13,5,20,38
3437,14,5,20,39
3522,14,5,21,40
3551,15,5,21,41
3626,15,5,22,42
3674,15,5,23,43
3714,15,5,24,44
3775,15,5,25,45
3830,15,5,26,46
3951,15,5,27,47
4020,15,5,28,48
4023,15,5,29,49
4023,15,5,30,50
4029,16,5,30,51
4031,16,5,31,52
4048,17,5,31,53
4089,17,5,32,54
4091,17,5,33,55
4097,17,5,34,56
4128,17,5,35,57
4171,17,5,36,58
4252,17,5,37,59
4379,17,5,38,60
4401,18,5,38,61
4403,19,5,38,62
4429,19,5,39,63
4479,19,5,40,64
4542,19,5,41,65
4649,19,5,42,66
4654,19,5,43,67
4706,20,5,43,68
4713,21,5,43,69
4714,21,5,44,70
4764,22,5,44,71
4906,22,5,45,72
4962,22,5,46,73
4994,22,5,47,74
